Unit_ID,Unit_Name,Unit_Name_HE,English,Hebrew,IPA,Example_EN_1,Example_HE_1,Example_EN_2,Example_HE_2,POS,Collocation,CommonMistake_HE,Synonyms,Antonyms,Mnemonic_HE,Image_Keyword,Tags
02,Family & Friends,משפחה וחברים,in-law,חתן/כלה,/ˈɪn lɔː/,My mother-in-law is kind,חמותי נחמדה,Example 2 for in-law,דוגמה 2 עבור חתן/כלה,noun,mother-in-law,in-law עם מקף,family,,IN-LAW חוק משפחה,in-law,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,childhood,ילדות,/ˈtʃaɪldhʊd/,I had a happy childhood,הייתה לי ילדות מאושרת,Example 2 for childhood,דוגמה 2 עבור ילדות,noun,childhood memories,childhood מילה אחת,youth,,CHILD + HOOD,childhood,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,supportive,תומך,/səˈpɔːrtɪv/,My family is supportive,המשפחה שלי תומכת,Example 2 for supportive,דוגמה 2 עבור תומך,adj,supportive family,supportive עם 2 p,helpful,,SUPPORT + IVE,supportive,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,close,קרוב,/kloʊs/,We are very close,אנחנו מאוד קרובים,Example 2 for close,דוגמה 2 עבור קרוב,adj,close friends,close לא clothes,near,,CLOSE כמו קרוב,close,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,trust,אמון,/trʌst/,We trust each other,אנחנו סומכים אחד על השני,Example 2 for trust,דוגמה 2 עבור אמון,noun/verb,trust each other,trust לא truth,confidence,,TRUST כמו must,trust,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,argue,להתווכח,/ˈɑːrɡjuː/,We sometimes argue,אנחנו לפעמים מתווכחים,Example 2 for argue,דוגמה 2 עבור להתווכח,verb,argue about,argue לא argue,disagree,,ARGUE עם GUE,argue,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,forgive,לסלוח,/fərˈɡɪv/,I forgive you,אני סולח לך,Example 2 for forgive,דוגמה 2 עבור לסלוח,verb,forgive someone,forgive עם GIV,pardon,,FOR + GIVE,forgive,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,reunion,מפגש מחזור,/ˌriːˈjuːniən/,We have a family reunion,יש לנו מפגש משפחתי,Example 2 for reunion,דוגמה 2 עבור מפגש מחזור,noun,family reunion,reunion עם 2 I,gathering,,RE + UNION שוב ביחד,reunion,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,generation,דור,/ˌdʒenəˈreɪʃn/,The young generation,הדור הצעיר,Example 2 for generation,דוגמה 2 עבור דור,noun,young generation,generation עם 2 E,age group,,GENERATION כמו generate,generation,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,ancestor,אב קדמון,/ˈænsestər/,My ancestors came from Poland,אבותיי באו מפולין,Example 2 for ancestor,דוגמה 2 עבור אב קדמון,noun,my ancestors,ancestor לא ansestor,forefather,,ANCESTOR קדמון,ancestor,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,adopt,לאמץ,/əˈdɑːpt/,They adopted a child,הם אימצו ילד,Example 2 for adopt,דוגמה 2 עבור לאמץ,verb,adopt a child,adopt לא adapt,take in,,ADOPT עם OPT,adopt,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,raise,לגדל,/reɪz/,They raise two children,הם מגדלים שני ילדים,Example 2 for raise,דוגמה 2 עבור לגדל,verb,raise children,raise לא rise,bring up,,RAISE יד למעלה,raise,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,divorce,גירושין,/dɪˈvɔːrs/,They got divorced,הם התגרשו,Example 2 for divorce,דוגמה 2 עבור גירושין,noun/verb,get divorced,divorce עם 2 R? לא,separation,,DIVORCE קשה,divorce,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,single,רווק,/ˈsɪŋɡl/,She is a single mother,היא אם יחידנית,Example 2 for single,דוגמה 2 עבור רווק,adj/noun,single parent,single לא signal,alone,,SINGLE אחד,single,ESL-Pals::Unit02::Family & Friends
02,Family & Friends,משפחה וחברים,married,נשוי,/ˈmærid/,They got married in June,הם התחתנו ביוני,Example 2 for married,דוגמה 2 עבור נשוי,adj,get married,married עם 2 R,wedded,,MARRIED עם RIED,married,ESL-Pals::Unit02::Family & Friends
03,Emotions,רגשות,embarrassed,נבוך,/ɪmˈbærəst/,I was embarrassed when I fell in the street.,הייתי נבוך כשנפלתי ברחוב.,She felt embarrassed about her English.,היא הרגישה נבוכה בגלל האנגלית שלה.,adjective,be embarrassed about / be embarrassed to + verb,"נבוך (אתה) ≠ מביך (המצב). embarrassed = אתה נבוך, embarrassing = המצב מביך. אל תגיד I am embarrassing!","self-conscious, awkward","confident, proud",דמיין BEAR (דב) אדום מבושה - em-BEAR-assed,person covering face embarrassed,ESL-Pals::Unit03::Emotions::Hard
03,Emotions,רגשות,although,למרות ש,/ɔːlˈðəʊ/,"Although it was raining, we went to Jerusalem.","למרות שירד גשם, הלכנו לירושלים.","Although I'm tired, I will study.","למרות שאני עייף, אני אלמד.",conjunction,"Although + clause, ... / Although + subject + verb","אל תגיד Although but - זה או Although או But, לא שניהם! Although it was raining but we went = שגיאה","though, even though",because,ALL + THOUGH = למרות ש-כל זה קרה...,raining but people walking,ESL-Pals::Unit03::Conjunctions::Medium
03,Emotions,רגשות,achieve,"להשיג, להגשים",/əˈtʃiːv/,She worked hard to achieve her dream.,היא עבדה קשה כדי להגשים את החלום שלה.,We can achieve great results together.,אנחנו יכולים להשיג תוצאות נהדרות ביחד.,verb,achieve a goal / dream / success / results,"achieve = פועל (להשיג), achievement = שם עצם (הישג). אל תגיד I have achieve","accomplish, attain, reach","fail, lose",A-CHIEF משיג מטרות כמו צ'יף,person reaching mountain top success,ESL-Pals::Unit03::Success::Medium
03,Emotions,רגשות,proud,גאה,/praʊd/,I am proud of my son.,אני גאה בבן שלי.,We are proud to be Israeli.,אנחנו גאים להיות ישראלים.,adjective,be proud of someone / something,"proud = גאה (תואר), pride = גאווה (שם עצם). proud OF, לא proud FROM","satisfied, pleased","ashamed, embarrassed",PRO כמו מקצוען - גאה כמו PRO,proud parents graduation,ESL-Pals::Unit03::Emotions::Easy
03,Emotions,רגשות,nervous,"לחוץ, עצבני (לפני משהו)",/ˈnɜːvəs/,He felt nervous before the interview.,הוא הרגיש לחוץ לפני הריאיון.,"Don't be nervous, you will do great!","אל תהיה לחוץ, אתה תהיה נהדר!",adjective,nervous about / before / be nervous to + verb,"nervous = לחוץ לפני אירוע, לא עצבני במובן כועס (angry). I'm nervous before test = אני לחוץ","anxious, tense, worried","calm, confident, relaxed",NERVES = עצבים - לחוץ,nervous before interview,ESL-Pals::Unit03::Emotions::Easy
03,Emotions,רגשות,confident,בטוח בעצמו,/ˈkɒnfɪdənt/,She is confident about her English.,היא בטוחה בעצמה באנגלית.,"Be confident, you know the material!","תהיה בטוח בעצמך, אתה מכיר את החומר!",adjective,confident about / in / confident that + clause,"confident = בטוח בעצמך, לא בטוח ש... (sure). I'm confident about = אני בטוח בעצמי ב...","self-assured, sure, positive","insecure, nervous, shy","CON-FIDE = סומך, מאמין בעצמך",confident speaker,ESL-Pals::Unit03::Emotions::Medium
03,Emotions,רגשות,disappointed,מאוכזב,/ˌdɪsəˈpɔɪntɪd/,I was disappointed with my grade.,התאכזבתי מהציון שלי.,She was disappointed that he didn't come.,היא התאכזבה שהוא לא בא.,adjective,disappointed with / in / about / that + clause,"disappointed = אתה מאוכזב, disappointing = מאכזב (הדבר). The movie was disappointing, I was disappointed","let down, upset, discouraged","satisfied, pleased, thrilled","DIS-appointed = לא מונה, אכזבה",disappointed face low grade,ESL-Pals::Unit03::Emotions::Medium
03,Emotions,רגשות,grateful,אסיר תודה,/ˈɡreɪtfəl/,I'm grateful for your help.,אני אסיר תודה על העזרה שלך.,We are grateful to have you as a teacher.,אנחנו אסירי תודה שיש לנו אותך כמורה.,adjective,grateful for something / grateful to someone,"grateful = אסיר תודה עמוקה ורצינית, יותר מ-thankful. grateful FOR עזרה, grateful TO אדם","thankful, appreciative",ungrateful,GREAT + FUL = מלא תודה גדולה,grateful thank you hands,ESL-Pals::Unit03::Emotions::Easy
03,Emotions,רגשות,anxious,"חרד, מודאג מאוד",/ˈæŋkʃəs/,She felt anxious about her health.,היא הרגישה חרדה לגבי הבריאות שלה.,I get anxious before flying.,אני נהיה חרד לפני טיסה.,adjective,anxious about / anxious to + verb (רוצה מאוד) / anxious that,"anxious חזק מ-nervous. nervous = לחוץ לפני מבחן, anxious = חרדה אמיתית. anxious to = משתוקק, לא רק חרד","worried, nervous, uneasy","calm, relaxed, confident",ANX = חנק בגרון מחרדה,anxious worried person,ESL-Pals::Unit03::Emotions::Hard
03,Emotions,רגשות,curious,סקרן,/ˈkjʊəriəs/,Kids are curious about everything.,ילדים סקרנים לגבי הכל.,I'm curious to know what happened in Jerusalem.,אני סקרן לדעת מה קרה בירושלים.,adjective,curious about / curious to + verb,"curious = סקרן (חיובי), לא מוזר! strange = מוזר. I'm curious = אני סקרן","inquisitive, interested","indifferent, bored",Curious CAT - חתול סקרן,curious child exploring,ESL-Pals::Unit03::Emotions::Easy
03,Emotions,רגשות,jealous,"קנאי, מקנא",/ˈdʒeləs/,He was jealous of his friend's new car.,הוא קינא במכונית החדשה של חברו.,"Don't be jealous, you can achieve it too!","אל תקנא, גם אתה יכול להשיג את זה!",adjective,jealous of someone / something,"jealous OF, לא jealous FROM. jealous = קנאה ברכוש, envious דומה אבל jealous גם חשד בבגידה","envious, green with envy","content, satisfied",JEALOUS = קנאה ירוקה,jealous looking at new car,ESL-Pals::Unit03::Emotions::Medium
03,Emotions,רגשות,relieved,חש הקלה,/rɪˈliːvd/,I was relieved when I found my keys.,חשתי הקלה כשמצאתי את המפתחות.,She felt relieved after the exam.,היא חשה הקלה אחרי הבחינה.,adjective,relieved that / when / to + verb / relieved about,"relieved = חש הקלה, לא released = שוחרר. I was relieved = הוקל לי","reassured, at ease","anxious, worried, tense","RE-LIEVED = הוקל, הוסרה הדאגה",relieved sigh after stress,ESL-Pals::Unit03::Emotions::Medium
03,Emotions,רגשות,frustrated,מתוסכל,/frʌˈstreɪtɪd/,I feel frustrated when my internet is slow.,אני מרגיש מתוסכל כשהאינטרנט איטי.,He was frustrated with his English progress.,הוא היה מתוסכל מההתקדמות באנגלית.,adjective,frustrated with / by / about / frustrated that,"frustrated = אתה מתוסכל, frustrating = מתסכל (המצב). The lesson is frustrating, I am frustrated","discouraged, stuck, annoyed","satisfied, content, inspired",FRUSTRATED = תקוע כמו פקק,frustrated at computer,ESL-Pals::Unit03::Emotions::Hard
03,Emotions,רגשות,amazed,"נדהם, מופתע מאוד",/əˈmeɪzd/,We were amazed by the view of Jerusalem.,נדהמנו מהנוף של ירושלים.,I was amazed to hear her story.,נדהמתי לשמוע את הסיפור שלה.,adjective,amazed by / at / to + verb / amazed that,"amazed = אתה נדהם, amazing = מדהים. The view is amazing, I am amazed","astonished, surprised, stunned","bored, unimpressed",A-MAZED = הולך לאיבוד במבוך של הפתעה,amazed by Jerusalem Western Wall,ESL-Pals::Unit03::Emotions::Easy
03,Emotions,רגשות,exhausted,"מותש, סחוט",/ɪɡˈzɔːstɪd/,"After the hike in the desert, we were exhausted.",אחרי הטיול במדבר היינו מותשים.,I feel exhausted after work.,אני מרגיש מותש אחרי העבודה.,adjective,exhausted after / from / exhausted by,"exhausted = מותש לגמרי, חזק מ-tired. tired = עייף, exhausted = אין כוח לזוז","tired out, drained, wiped out","energetic, refreshed, rested","EX-HAUSTED = רוקנת את כל האוויר, סחוט",exhausted after hike desert,ESL-Pals::Unit03::Emotions::Easy
03,Emotions,רגשות,thrilled,"נרגש מאוד, מאושר",/θrɪld/,She was thrilled to get the job in Tel Aviv.,היא הייתה נרגשת מאוד לקבל את העבודה בתל אביב.,We were thrilled about our trip to Israel.,היינו נרגשים מאוד לגבי הטיול לישראל.,adjective,thrilled about / to + verb / thrilled that / thrilled with,"thrilled = נרגש מאוד, חזק מ-excited. thrilled זה שיא ההתרגשות!","excited, delighted, overjoyed","disappointed, bored, indifferent",THRILL = ריגוש כמו רכבת הרים,thrilled excited job offer,ESL-Pals::Unit03::Emotions::Easy
03,Emotions,רגשות,ashamed,"מתבייש, חש בושה",/əˈʃeɪmd/,He felt ashamed of his behavior.,הוא התבייש בהתנהגות שלו.,You should be ashamed of lying!,אתה צריך להתבייש ששיקרת!,adjective,ashamed of / ashamed to + verb / ashamed that,"ashamed = בושה מוסרית עמוקה, embarrassed = מבוכה רגעית. ashamed of what you did = בושה במעשה","embarrassed, guilty, remorseful","proud, unashamed",A-SHAMED = מלא בושה SHAME,ashamed head down,ESL-Pals::Unit03::Emotions::Hard
03,Emotions,רגשות,overwhelmed,"מוצף, המום (מרגשות/עבודה)",/ˌəʊvəˈwelmɪd/,I felt overwhelmed by all the homework.,הרגשתי מוצף מכל שיעורי הבית.,She was overwhelmed with emotions in Jerusalem.,היא הייתה מוצפת רגשות בירושלים.,adjective,overwhelmed by / with / overwhelmed to + verb,"overwhelmed = מוצף רגשית, לא overcame = התגבר. overwhelmed BY work = מוצף מעבודה","swamped, overloaded, buried","calm, relaxed, under control","OVER-WHELMED = מים מעל הראש, מוצף",overwhelmed with paperwork,ESL-Pals::Unit03::Emotions::Hard
03,Emotions,רגשות,inspired,"מלא השראה, נרגש מרעיון",/ɪnˈspaɪəd/,The story of Jerusalem inspired me to learn more.,הסיפור של ירושלים נתן לי השראה ללמוד יותר.,I felt inspired after the lesson.,הרגשתי מלא השראה אחרי השיעור.,adjective,inspired by / inspired to + verb,"inspired = אתה מלא השראה, inspiring = נותן השראה. She is inspiring, I am inspired","motivated, uplifted, encouraged","uninspired, discouraged, bored","IN-SPIRED = נכנסה רוח, נשמה",inspired by sunset Jerusalem,ESL-Pals::Unit03::Emotions::Medium
03,Emotions,רגשות,content,"מרוצה, מסופק",/kənˈtent/ (adj) vs /ˈkɒntent/ (noun),He felt content with his simple life.,הוא הרגיש מסופק מחייו הפשוטים.,I'm content to stay home today.,אני מסופק להישאר בבית היום.,adjective,content with / content to + verb / content that,"content (adj) = מרוצה - מבטאים kənTENT, content (noun) = תוכן - KONtent. שני פירושים שונים!","satisfied, pleased, happy","dissatisfied, unhappy, discontent","CONTENT = תוכן מספק, מסופק ממה שיש",content happy simple life,ESL-Pals::Unit03::Emotions::Medium
04,Travel,נסיעות,destination,יעד,/ˌdestɪˈneɪʃn/,Paris is a popular destination,פריז יעד פופולרי,Example 2 for destination,דוגמה 2 עבור יעד,noun,popular destination,destination עם 2 T,place,,DESTINATION יעד,destination,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,itinerary,מסלול טיול,/aɪˈtɪnəreri/,Check your itinerary,בדוק את מסלול הטיול,Example 2 for itinerary,דוגמה 2 עבור מסלול טיול,noun,travel itinerary,itinerary קשה,plan,,ITINERARY מסלול,itinerary,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,accommodation,לינה,/əˌkɑːməˈdeɪʃn/,We booked accommodation,הזמנו לינה,Example 2 for accommodation,דוגמה 2 עבור לינה,noun,book accommodation,accommodation עם 2 C ו-2 M,lodging,,ACCOMMODATION כפול,accommodation,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,sightseeing,סיור,/ˈsaɪtsiːɪŋ/,We went sightseeing,יצאנו לסיור,Example 2 for sightseeing,דוגמה 2 עבור סיור,noun,go sightseeing,sightseeing מילה אחת,touring,,SIGHT + SEEING,sightseeing,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,souvenir,מזכרת,/ˌsuːvəˈnɪr/,I bought souvenirs,קניתי מזכרות,Example 2 for souvenir,דוגמה 2 עבור מזכרת,noun,buy souvenirs,souvenir צרפתי,keepsake,,SOUVENIR מזכרת,souvenir,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,passport,דרכון,/ˈpæspɔːrt/,Don't forget your passport,אל תשכח דרכון,Example 2 for passport,דוגמה 2 עבור דרכון,noun,valid passport,passport מילה אחת,document,,PASS + PORT,passport,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,customs,מכס,/ˈkʌstəmz/,We went through customs,עברנו מכס,Example 2 for customs,דוגמה 2 עבור מכס,noun,go through customs,customs עם S,border control,,CUSTOMS מכס,customs,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,luggage,מטען,/ˈlʌɡɪdʒ/,My luggage was lost,המטען שלי אבד,Example 2 for luggage,דוגמה 2 עבור מטען,noun,lost luggage,luggage עם 2 G,baggage,,LUGGAGE עם GG,luggage,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,departure,המראה,/dɪˈpɑːrtʃər/,Departure is at 8am,ההמראה ב-8,Example 2 for departure,דוגמה 2 עבור המראה,noun,departure time,departure עם URE,leaving,,DEPARTURE עזיבה,departure,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,arrival,נחיתה,/əˈraɪvl/,Arrival is at 10am,הנחיתה ב-10,Example 2 for arrival,דוגמה 2 עבור נחיתה,noun,arrival time,arrival עם 2 R,landing,,ARRIVAL הגעה,arrival,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,delay,עיכוב,/dɪˈleɪ/,Our flight was delayed,הטיסה שלנו התעכבה,Example 2 for delay,דוגמה 2 עבור עיכוב,noun/verb,flight delay,delay לא delete,late,,DELAY מאוחר,delay,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,cancel,לבטל,/ˈkænsəl/,They canceled the flight,הם ביטלו את הטיסה,Example 2 for cancel,דוגמה 2 עבור לבטל,verb,cancel a flight,cancel עם 1 L ב-US,abort,,CANCEL לבטל,cancel,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,explore,לחקור,/ɪkˈsplɔːr/,We explored Jerusalem,חקרנו את ירושלים,Example 2 for explore,דוגמה 2 עבור לחקור,verb,explore the city,explore לא explode,discover,,EXPLORE לחקור,explore,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,adventure,הרפתקה,/ədˈventʃər/,It was an adventure,זו הייתה הרפתקה,Example 2 for adventure,דוגמה 2 עבור הרפתקה,noun,go on an adventure,adventure עם TURE,journey,,ADVENTURE הרפתקה,adventure,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,backpack,תרמיל,/ˈbækpæk/,He carries a backpack,הוא נושא תרמיל,Example 2 for backpack,דוגמה 2 עבור תרמיל,noun/verb,carry a backpack,backpack מילה אחת,rucksack,,BACK + PACK,backpack,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,guide,מדריך,/ɡaɪd/,Our guide was excellent,המדריך שלנו היה מצוין,Example 2 for guide,דוגמה 2 עבור מדריך,noun/verb,tour guide,guide לא guid,leader,,GUIDE מדריך,guide,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,reservation,הזמנה,/ˌrezərˈveɪʃn/,I made a reservation,ביצעתי הזמנה,Example 2 for reservation,דוגמה 2 עבור הזמנה,noun,make a reservation,reservation עם 2 R,booking,,RESERVATION הזמנה,reservation,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,check-in,צ'ק אין,/ˈtʃek ɪn/,Check-in is at 3pm,צ'ק אין ב-3,Example 2 for check-in,דוגמה 2 עבור צ'ק אין,noun/verb,check in at hotel,check-in עם מקף,register,,CHECK-IN כניסה,check-in,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,view,נוף,/vjuː/,The view was amazing,הנוף היה מדהים,Example 2 for view,דוגמה 2 עבור נוף,noun/verb,beautiful view,view לא viev,scenery,,VIEW לראות,view,ESL-Pals::Unit04::Travel
04,Travel,נסיעות,experience,חוויה,/ɪkˈspɪəriəns/,It was a great experience,זו הייתה חוויה נהדרת,Example 2 for experience,דוגמה 2 עבור חוויה,noun/verb,great experience,experience עם 2 E,adventure,,EXPERIENCE חוויה,experience,ESL-Pals::Unit04::Travel
